id,compound_id,food_id,orig_source_id,orig_content,orig_unit,preparation_type,standard_content
221b3c9c-92a8-11ee-8750-0242ac1c000c,565,1bb7774e-92a8-11ee-8750-0242ac1c000c,27,0.03,mg/100g,raw,0.03
221b4e76-92a8-11ee-8750-0242ac1c000c,574,1bb7774e-92a8-11ee-8750-0242ac1c000c,41,0.08,mg/100g,raw,0.08
221b5f7e-92a8-11ee-8750-0242ac1c000c,474,1bb7774e-92a8-11ee-8750-0242ac1c000c,238,44.0,mg/100g,raw,44.0
221b72c0-92a8-11ee-8750-0242ac1c000c,556,1bb7774e-92a8-11ee-8750-0242ac1c000c,248,47.0,mg/100g,raw,47.0
221b83fa-92a8-11ee-8750-0242ac1c000c,484,1bb7774e-92a8-11ee-8750-0242ac1c000c,251,38.0,mg/100g,raw,38.0
221b9660-92a8-11ee-8750-0242ac1c000c,570,1bb7774e-92a8-11ee-8750-0242ac1c000c,252,41.0,mg/100g,raw,41.0
221ba7ea-92a8-11ee-8750-0242ac1c000c,753,1ba69ae6-92a8-11ee-8750-0242ac1c000c,11,0.0,mg/100g,raw,0.0
221bbb0e-92a8-11ee-8750-0242ac1c000c,565,1ba69ae6-92a8-11ee-8750-0242ac1c000c,26,1.3,α-TE,raw,1.3
221bce8c-92a8-11ee-8750-0242ac1c000c,565,1ba69ae6-92a8-11ee-8750-0242ac1c000c,27,1.3,mg/100g,raw,1.3
221be12e-92a8-11ee-8750-0242ac1c000c,574,1ba69ae6-92a8-11ee-8750-0242ac1c000c,41,0.36,mg/100g,raw,0.36
221bf2ae-92a8-11ee-8750-0242ac1c000c,474,1ba69ae6-92a8-11ee-8750-0242ac1c000c,238,94.0,mg/100g,raw,94.0
221c04f6-92a8-11ee-8750-0242ac1c000c,556,1ba69ae6-92a8-11ee-8750-0242ac1c000c,248,120.0,mg/100g,raw,120.0
221c16b2-92a8-11ee-8750-0242ac1c000c,484,1ba69ae6-92a8-11ee-8750-0242ac1c000c,251,76.0,mg/100g,raw,76.0
221c2882-92a8-11ee-8750-0242ac1c000c,570,1ba69ae6-92a8-11ee-8750-0242ac1c000c,252,73.0,mg/100g,raw,73.0
221c3a34-92a8-11ee-8750-0242ac1c000c,753,1b9f4598-92a8-11ee-8750-0242ac1c000c,11,0.0,mg/100g,,0.0
221c4ccc-92a8-11ee-8750-0242ac1c000c,565,1b9f4598-92a8-11ee-8750-0242ac1c000c,26,0.5,α-TE,,0.5
221c5e92-92a8-11ee-8750-0242ac1c000c,565,1b9f4598-92a8-11ee-8750-0242ac1c000c,27,0.0,mg/100g,,0.0
221c6fcc-92a8-11ee-8750-0242ac1c000c,574,1b9f4598-92a8-11ee-8750-0242ac1c000c,41,0.053,mg/100g,,0.053
221c8282-92a8-11ee-8750-0242ac1c000c,753,1bea188e-92a8-11ee-8750-0242ac1c000c,11,0.0,mg/100g,dried or powder,0.0
221c93bc-92a8-11ee-8750-0242ac1c000c,565,1bea188e-92a8-11ee-8750-0242ac1c000c,26,0.0,α-TE,dried or powder,0.0
221ca672-92a8-11ee-8750-0242ac1c000c,565,1bea188e-92a8-11ee-8750-0242ac1c000c,27,0.0,mg/100g,dried or powder,0.0
