id,name,name_scientific,wikipedia_id,food_group,food_subgroup,food_type,culinarydb_ingredient_id,foodb_id
1bb73220-92a8-11ee-8750-0242ac1c000c,Bitter gourd,Momordica charantia,Bitter melon,Gourds,Gourds,Type 1,379,115
1bb75480-92a8-11ee-8750-0242ac1c000c,Canola oil,,,Herbs and Spices,Oilseed crops,Type 2,380,954
1bb7774e-92a8-11ee-8750-0242ac1c000c,Eggplant,Solanum melongena,Eggplant,Vegetables,Fruit vegetables,Type 1,387,174
1bb79b84-92a8-11ee-8750-0242ac1c000c,Flaxseed,Linum usitatissimum,Flax,Herbs and Spices,Oilseed crops,Type 1,388,101
1bb7befc-92a8-11ee-8750-0242ac1c000c,Lotus,Nelumbo,Nelumbo,Herbs and Spices,Other seeds,Type 1,391,406
1bb7e1c0-92a8-11ee-8750-0242ac1c000c,Pomegranate,Punica granatum,Pomegranate,Fruits,Tropical fruits,Type 1,394,151
1bb804fc-92a8-11ee-8750-0242ac1c000c,Spinach,Spinacia oleracea,Spinach,Vegetables,Leaf vegetables,Type 1,396,178
1bb8293c-92a8-11ee-8750-0242ac1c000c,Pigeon pea,Cajanus cajan,Pigeon pea,Pulses,Peas,Type 1,403,37
1bb84f20-92a8-11ee-8750-0242ac1c000c,Silver linden,Tilia argentea,Tilia tomentosa,Herbs and Spices,Herbs,Type 1,408,3
1bb8731a-92a8-11ee-8750-0242ac1c000c,Lemon verbena,Aloysia triphylla,Aloysia citrodora,Herbs and Spices,Herbs,Type 1,410,10
1bb89638-92a8-11ee-8750-0242ac1c000c,Cashew nut,Anacardium occidentale,Cashew_nut,Nuts,Nuts,Type 1,411,11
1bb8b9d8-92a8-11ee-8750-0242ac1c000c,Burdock,Arctium lappa,Arctium_lappa,Vegetables,Root vegetables,Type 1,412,17
1bb8dd50-92a8-11ee-8750-0242ac1c000c,Borage,Borago officinalis,Borage,Herbs and Spices,Oilseed crops,Type 1,413,26
1bb8ff42-92a8-11ee-8750-0242ac1c000c,Capers,Capparis spinosa,Capers,Herbs and Spices,Spices,Type 1,414,39
1bb9236e-92a8-11ee-8750-0242ac1c000c,Safflower,Carthamus tinctorius,Safflower,Herbs and Spices,Oilseed crops,Type 1,415,42
1bb948bc-92a8-11ee-8750-0242ac1c000c,Chestnut,Castanea,Chestnut,Nuts,Nuts,Type 1,416,45
1bb96f22-92a8-11ee-8750-0242ac1c000c,Chickpea,Cicer arietinum,Chickpea,Pulses,Peas,Type 1,417,47
1bb9936c-92a8-11ee-8750-0242ac1c000c,Pummelo,Citrus maxima,Pomelo,Fruits,Citrus,Type 1,418,55
1bb9b702-92a8-11ee-8750-0242ac1c000c,Arabica coffee,Coffea arabica,Arabica_coffee,Coffee and coffee products,Coffee,Type 1,419,59
1bb9da98-92a8-11ee-8750-0242ac1c000c,Japanese persimmon,Diospyros kaki,Japanese_persimmon,Fruits,Tropical fruits,Type 1,421,73
1bb9ff82-92a8-11ee-8750-0242ac1c000c,Black crowberry,Empetrum nigrum,Empetrum nigrum,Fruits,Berries,Type 1,422,75
1bba2480-92a8-11ee-8750-0242ac1c000c,Rocket salad,Eruca vesicaria,Rocket_(salad),Vegetables,Leaf vegetables,Type 1,423,244
1bba497e-92a8-11ee-8750-0242ac1c000c,Tartary buckwheat,Fagopyrum tataricum,Fagopyrum tataricum,Cereals and cereal products,Cereals,Type 1,424,80
1bba6e22-92a8-11ee-8750-0242ac1c000c,Black huckleberry,Gaylussacia baccata,Black_huckleberry,Fruits,Berries,Type 1,425,84
1bba91fe-92a8-11ee-8750-0242ac1c000c,Sunflower,Helianthus annuus,Sunflower,Herbs and Spices,Oilseed crops,Type 1,426,86
1bbab4e0-92a8-11ee-8750-0242ac1c000c,Swamp cabbage,Ipomoea aquatica,Ipomoea_aquatica,Vegetables,Leaf vegetables,Type 1,427,91
1bbad920-92a8-11ee-8750-0242ac1c000c,Grass pea,Lathyrus sativus,Lathyrus sativus,Pulses,Peas,Type 1,428,96
1bbafb1c-92a8-11ee-8750-0242ac1c000c,Lentils,Lens culinaris,Lentils,Pulses,Lentils,Type 1,429,98
1bbb1fc0-92a8-11ee-8750-0242ac1c000c,Garden cress,Lepidium sativum,Garden cress,Vegetables,Leaf vegetables,Type 1,430,99
1bbb42ca-92a8-11ee-8750-0242ac1c000c,Mexican oregano,Lippia graveolens,Mexican_oregano,Herbs and Spices,Herbs,Type 1,431,102
1bbb6642-92a8-11ee-8750-0242ac1c000c,Lupine,Lupinus,Lupin,Pulses,Other pulses,Type 1,432,104
1bbb89ec-92a8-11ee-8750-0242ac1c000c,Medlar,Mespilus germanica,Medlar,Fruits,Pomes,Type 1,433,114
1bbbadb4-92a8-11ee-8750-0242ac1c000c,Mulberry,Morus,Mulberry,Fruits,Berries,Type 1,434,116
1bbbd19a-92a8-11ee-8750-0242ac1c000c,Black mulberry,Morus nigra,Black_mulberry,Fruits,Berries,Type 1,435,117
